load,relative_distance,stop_time
0.1,1.162317472756137,0.0
0.15,1.1596241824110358,0.0
0.2,1.157054458992538,0.0
0.25,1.1546981125361482,0.0
0.3,1.1520496890793424,0.0
0.35,1.1483252582563157,0.0
0.4,1.144379365358792,0.0
0.45,1.1396364117418536,0.0
0.5,1.1345514437003643,0.0
0.55,1.1283702326996865,0.0
0.6,1.1219866930706146,0.0
0.65,1.11319183553984,0.0
0.7,1.1027009510648056,0.0
0.75,1.0904762744486485,0.0
0.8,1.0755153712301573,0.0
0.85,1.0550144538495652,0.0
0.9,1.0329799401665185,0.0
0.95,1.0056994191883784,0.0
1.0,0.9749011375881698,0.0
1.05,0.9417822059614352,0.0
1.1,0.9061550152325512,0.0
1.15,0.8707418010684878,0.0
1.2,0.8361126953898332,0.0
1.25,0.8036932223538334,0.0
1.5,0.6708215380447962,0.0
1.75,0.5748301423970981,0.0
2.0,0.5035774842803616,0.0
2.25,0.4475814726632102,0.0
2.5,0.403470811636211,0.0
2.75,0.367059542419574,0.0
3.0,0.3365778271433379,0.0
3.25,0.3106438722237841,0.0
3.5,0.2882344779299307,0.0
3.75,0.2690528285757555,0.0
4.0,0.2527641709662848,0.0
0.1000000143307708,1.143568540958828,0.007
0.1500000215411094,1.1420363253884716,0.007
0.2000001221634589,1.1409488792632991,0.007
0.2500000690771486,1.139733024825774,0.007
0.3000012240857913,1.1376181458484378,0.007
0.3500001561686729,1.1359658586072834,0.007
0.3999995805700073,1.1324688253317654,0.007
0.4500009167446961,1.1293207350704872,0.007
0.5000001887786473,1.1257005695243325,0.007
0.5499988173071148,1.1212195936490663,0.007
0.6000009942304572,1.1144799937740937,0.007
0.6499999975922657,1.1081373810735031,0.007
0.7000000434278125,1.0987661841002327,0.007
0.7499998858365889,1.087585519496374,0.007
0.8000010508267115,1.0723307027910218,0.007
0.8499995126276398,1.054156012492888,0.007
0.8999996043387561,1.030585902909552,0.007
0.9500001075104956,1.002328332725213,0.007
0.9999997937708348,0.970474649919686,0.007
1.0500002637440131,0.9355509913002864,0.007
1.1000003035069823,0.8979157274732028,0.007
1.1499986893520742,0.8613619592812015,0.007
1.19999993435,0.8262466226775915,0.007
1.2499999794433592,0.7940931681858266,0.007
1.500001021476604,0.6607459735881045,0.007
1.7500007408268443,0.5651578647350284,0.007
1.9999997402916687,0.493740082550439,0.007
2.250001393777418,0.4376916325350186,0.007
2.4999991079427386,0.3931260627308494,0.007
2.7500010036595435,0.357110097557227,0.007
2.9999980646876403,0.3268564832116695,0.007
3.2500059636666783,0.3007988770479983,0.007
3.4999917858097622,0.2791412413873924,0.007
3.749998342122496,0.259874197665549,0.007
4.000005353334363,0.2428827575541918,0.007
0.0999999286767087,1.124266572090357,0.014
0.1500000780018442,1.1243085163770563,0.014
0.2000000595251669,1.1235660591821386,0.014
0.2500000943893236,1.1234629554233044,0.014
0.2999991285800621,1.122619642585666,0.014
0.3499986419427546,1.1219392684110772,0.014
0.4000005254133557,1.1193593418070753,0.014
0.4499998021693781,1.1180345281112205,0.014
0.4999998968854175,1.1153402388374054,0.014
0.5499987265785676,1.111763375364865,0.014
0.599999967175,1.1073528657822067,0.014
0.6499988031389684,1.1026930982170886,0.014
0.6999991000200644,1.0951752540184096,0.014
0.749999039424552,1.0844548099046054,0.014
0.7999997865600036,1.0703980034305811,0.014
0.8499996294741774,1.053914425259325,0.014
0.8999998890787511,1.0291046321159782,0.014
0.94999896519175,1.0001026762030745,0.014
1.0000014001668187,0.9657334662565812,0.014
1.0499996145958448,0.9289972740936792,0.014
1.1000014019134845,0.8911607895244429,0.014
1.1499992101053602,0.8531760967878205,0.014
1.2000011008000924,0.8167323524701625,0.014
1.2499995539713693,0.7828009553258491,0.014
1.49999903234382,0.6510698551295363,0.014
1.749999318968784,0.5551193937504989,0.014
1.999999124000056,0.4832582614426299,0.014
2.249999780158858,0.427984264135724,0.014
2.49999836145852,0.3834231901035816,0.014
2.7499993877057545,0.3466948014526974,0.014
3.000000834666714,0.3169233683421874,0.014
3.2499985181485838,0.2911669186922844,0.014
3.500000539166686,0.2695005049907185,0.014
3.750013355480144,0.250012112915637,0.014
3.9999972166671536,0.2336503979714246,0.014
0.1000000520012295,1.1049074116297428,0.021
0.150000125345929,1.1055812518279875,0.021
0.1999999664674168,1.1058959623934823,0.021
0.2499998695850932,1.1063143829189452,0.021
0.2999998681129187,1.1067573257814955,0.021
0.3499991416085004,1.106664586706474,0.021
0.3999999781166667,1.1061238605921926,0.021
0.4500001034685429,1.1048092963580036,0.021
0.5000003404922012,1.104013831723988,0.021
0.5499988349087016,1.101807908129767,0.021
0.5999999260525006,1.099814279952125,0.021
0.6499992660548805,1.095213489491042,0.021
0.6999987151307119,1.0894668957505087,0.021
0.7500004645924728,1.0813278019310044,0.021
0.8000007338667282,1.0677429776435778,0.021
0.849998992077824,1.0509034346630697,0.021
0.9000013726136508,1.0279770542857367,0.021
0.9500014561934156,0.9973212821896936,0.021
0.99999935489588,0.9620761920080718,0.021
1.0499987459189508,0.9230500849193426,0.021
1.100000311928969,0.8836612478529461,0.021
1.1500015620135755,0.8458929466236309,0.021
1.2000001007300014,0.8089079598038466,0.021
1.2500006104004309,0.7743348985133106,0.021
1.5000010806277275,0.6401098704191426,0.021
1.7499999268971362,0.5448310555877057,0.021
2.0000019171253696,0.473895114870529,0.021
2.249998584473504,0.4174550081806863,0.021
2.499999897265626,0.3733935924414417,0.021
2.7499977470675323,0.337004465947694,0.021
2.9999990382709174,0.30655469151428,0.021
3.2499981280081256,0.2809362957557474,0.021
