load,relative_distance,capacity
0.65,1.1108272629288114,inf
0.7,1.100168597198676,inf
0.75,1.0902592099557429,inf
0.8,1.07388009250642,inf
0.85,1.053717881840958,inf
0.9,1.0350696924244378,inf
0.95,1.0003342435409537,inf
1.0,0.974281851785768,inf
1.05,0.936548716920981,inf
1.1,0.902304191393048,inf
1.15,0.8638017491636113,inf
1.2,0.8279439004353012,inf
1.25,0.800530772111875,inf
1.5,0.6673773622073631,inf
1.75,0.5701290425776733,inf
2.0,0.5004509140931435,inf
2.0,0.500215557538496,inf
2.25,0.4443513947166275,inf
2.25,0.4444370853070402,inf
2.5,0.4011962894780686,inf
2.5,0.3999975647023268,inf
2.75,0.363470461313238,inf
2.75,0.3632350423678857,inf
3.0,0.3314057102504384,inf
3.0,0.3336059322100856,inf
3.25,0.3076991916480932,inf
3.25,0.3083401683726779,inf
3.5,0.2857310040394256,inf
3.5,0.2869602730487439,inf
3.75,0.265864930475064,inf
3.75,0.2666225838441176,inf
4.0,0.2492811267868388,inf
4.0,0.2505850257363889,inf
4.25,0.2346951880385089,inf
4.5,0.222190050568737,inf
4.75,0.2102464810083528,inf
5.0,0.1992890735966452,inf
