average_occupancy,relative_distance,fleet_size
0.10291583,1.5312982793629557,8
0.155833745,1.532394210838766,8
0.209820317,1.5388731338985306,8
0.265539326,1.5402772361335235,8
0.324878743,1.543834150237463,8
0.386842936,1.5437955182683134,8
0.453251531,1.5433229197450176,8
0.5294008029999999,1.5370952089254255,8
0.614713792,1.5229714841869757,8
0.715329896,1.4911491161751662,8
0.8319536540000001,1.4572072364001647,8
0.955459293,1.4092572766986025,8
1.119227271,1.3507653207392585,8
1.295078084,1.2874673421316174,8
1.489979221,1.227314793673336,8
1.7141565319999998,1.1583835160964258,8
1.975654417,1.09914248705419,8
2.235359627,1.0424290709688433,8
2.457382459,0.997468292864638,8
2.856221469,0.9500390470839272,8
3.143011907,0.9101969574615691,8
3.563314109,0.8650742128243684,8
3.981999641,0.8294604081553617,8
4.231139015,0.7949436448849372,8
6.817424272,0.6630147274019341,8
9.768872281,0.572805086902116,8
13.04222938,0.5094547581593172,8
17.54460314,0.4507074737468796,8
21.86114788,0.4085170386646948,8
27.74506119,0.3715312767783925,8
33.83667114,0.34303655200295,8
40.41623612,0.3187661687489835,8
45.72318683,0.2990469176615542,8
53.52070236,0.2804308673190366,8
61.86586126,0.2643394161468206,8
0.102758541,1.4047093641959651,16
0.155465518,1.4032922144239937,16
0.208654827,1.4052910943550418,16
0.26366139,1.405038697509054,16
0.320134395,1.4046027147074762,16
0.378365787,1.4050172364748963,16
0.437030517,1.4035868619123943,16
0.503337147,1.4012758883713123,16
0.570235181,1.3955629904976647,16
0.645632351,1.3831488872664166,16
0.73474695,1.3661354028160235,16
0.8347277,1.3404557367359524,16
0.955539974,1.3053315731341335,16
1.088249138,1.2600579442872584,16
1.23842814,1.206956535184433,16
1.41394541,1.1497760567157569,16
1.59521543,1.0939043453472594,16
1.772827429,1.0430138921773642,16
1.987127313,0.994293303617018,16
2.2232700480000003,0.9460506280843544,16
2.439750942,0.9061592594798736,16
2.715147603,0.8659463808739518,16
2.965291581,0.8326872950639145,16
3.295140588,0.8006231351940665,16
4.873080972,0.669418283325157,16
6.839601168,0.581866534292418,16
9.289276555,0.509751695776988,16
12.03949242,0.4566847885993484,16
15.40382735,0.4130016128625458,16
19.33526832,0.3737602933025595,16
24.25665516,0.3433741738347898,16
28.35069146,0.3195232269316893,16
33.76016834,0.2968674723367223,16
39.71047023,0.2762538934371238,16
44.94239699,0.26024578739351,16
0.10074512,1.3028659944281769,32
0.152085591,1.3005515335301907,32
0.2039762319999999,1.2996599212290028,32
0.25668132,1.2974029810643888,32
0.3104115839999999,1.2953872714490988,32
0.3648102729999999,1.2952320630804508,32
0.4213090779999999,1.2892658621514927,32
0.479704099,1.2861328702085402,32
0.538488389,1.2817886387754152,32
0.599410597,1.2792766267631457,32
0.670012961,1.2696947752585832,32
0.745536157,1.2593387264387577,32
0.825177983,1.238473533012516,32
0.917992081,1.2143455033034074,32
1.022526162,1.1860703026931316,32
1.134917681,1.1493691247123965,32
1.260466122,1.1039511089019556,32
1.410799991,1.056856688092372,32
1.5627021019999998,1.0095363392736052,32
1.718175779,0.9645220222932316,32
1.882125753,0.9227122141681328,32
2.092043763,0.8832754270654524,32
2.271986436,0.8464504000107952,32
2.469059543,0.8147538027212697,32
3.727871768,0.6747654859222258,32
5.250657523,0.581381075741668,32
7.062627655,0.5068219726305618,32
9.340140237,0.4497996503802899,32
11.79801991,0.4049012227618985,32
14.5995022,0.3693474504230876,32
17.604157100000005,0.3393070466636406,32
21.64311955,0.3130087256845786,32
25.29033408,0.2910433809709198,32
29.57375873,0.2722061432298172,32
34.38740511,0.2557801350791199,32
0.1010225769999999,1.2225033114709107,64
0.152230372,1.2206372522051132,64
0.20390633,1.217513948092564,64
0.255953024,1.2144326860154324,64
0.308569192,1.213403990289995,64
0.362563942,1.2110268181559904,64
0.417161781,1.20600485598259,64
0.472742334,1.2027572771729986,64
0.530857123,1.1990966884219734,64
0.589471555,1.1932726312892623,64
0.6500640520000001,1.1876732181741745,64
0.715593347,1.1770393594788515,64
0.785564232,1.1636406124145668,64
0.8605187459999999,1.146696330684435,64
0.942190797,1.128423602626605,64
1.032346315,1.1036853571119525,64
1.13308752,1.0696787769258391,64
1.246505241,1.034389087057968,64
1.360174436,0.9941700307730024,64
1.492102681,0.9528365207419632,64
1.632534785,0.9117921333656088,64
1.778736834,0.8754881647853788,64
1.926990795,0.8375672895884574,64
2.097232987,0.8034127516839059,64
3.015819322,0.6709817425647683,64
4.176109323,0.5740713704902702,64
5.529507700000001,0.5029237153902344,64
7.14516553,0.4489719338587539,64
8.961745631,0.4047791678028272,64
11.10447844,0.3688503019885196,64
13.55394008,0.3384253800444904,64
16.12698829,0.3127282581109148,64
19.03536681,0.2903138748212582,64
22.28207291,0.2717278856629381,64
25.75897585,0.2547500525123946,64
0.100450581,1.1623174726537624,128
0.151111793,1.1596241823347495,128
0.2021822639999999,1.157054459058056,128
0.253600588,1.1546981125698093,128
0.305386163,1.1520496891189569,128
0.3582693939999999,1.1483252582650758,128
0.41123213,1.1443793654360417,128
0.465269554,1.1396364118463629,128
0.5202762670000001,1.134551443624093,128
0.576724999,1.1283702326581169,128
0.634868836,1.12198669312594,128
0.696456537,1.1131918356160295,128
0.758790333,1.1027009510453445,128
0.823164564,1.090476274437962,128
0.893781024,1.075515371190386,128
0.968030267,1.0550144536969903,128
1.049738668,1.0329799400651405,128
1.141233228,1.0056994193221416,128
1.232090581,0.9749011374765746,128
1.33738814,0.941782206053926,128
1.445215828,0.9061550151429492,128
1.558986543,0.8707418009644428,128
1.68230805,0.8361126954782346,128
1.806229855,0.8036932223847599,128
2.510885163,0.6708215380447962,128
3.3962374310000003,0.5748301423970981,128
