load,relative_distance,sigma
0.1005202740931506,1.146070740132992,0.1
0.1505730990748018,1.1445005148387442,0.1
0.1994720427878028,1.140084945262256,0.1
0.2490222317820621,1.131293823363011,0.1
0.2987751749411299,1.1233344828709464,0.1
0.3490550236863336,1.1136950315658387,0.1
0.3991690515106456,1.1033998392426367,0.1
0.4490401730754809,1.09521230191149,0.1
0.4985752011020244,1.086470364300156,0.1
0.5491754573099031,1.073684134401698,0.1
0.5993337747634406,1.0594853582112904,0.1
0.6497574110977272,1.0460987669068964,0.1
0.6996919053708466,1.0316553457171984,0.1
0.750252962389761,1.0126322390195552,0.1
0.7998275175968872,0.9925018154806636,0.1
0.8498268374479091,0.9707930922321608,0.1
0.9001353914592894,0.9484967518430492,0.1
0.9502101471011688,0.922899142680766,0.1
1.0000251133467613,0.8995803223429243,0.1
1.049871324144025,0.8741338397679316,0.1
1.0998231034572277,0.848568189331096,0.1
1.1490160896532349,0.8226469749483492,0.1
1.1993115872243154,0.7981625497128227,0.1
1.249589192479433,0.7744666648320665,0.1
1.4995797663168735,0.6611696983799704,0.1
1.7484631772629604,0.5711484388414467,0.1
1.9973755860799207,0.5005754926121694,0.1
2.2446161618771723,0.4456584767552399,0.1
2.4947944759489418,0.4011660977464854,0.1
2.742258116536184,0.3652808017303895,0.1
2.99078456597573,0.3353452719867603,0.1
3.2388584031765912,0.3098299011450762,0.1
3.488489539219424,0.2877992933545504,0.1
3.73635947788582,0.2689542021507771,0.1
3.983453155379733,0.252554560813455,0.1
0.0970043530787461,1.2653694400987008,0.2
0.1458016876540994,1.2614506734221096,0.2
0.1944686168726716,1.2523679146640798,0.2
0.2434149504933202,1.2427337053027392,0.2
0.292499287310344,1.2287332332391403,0.2
0.3406751278987286,1.2163460748969397,0.2
0.3883502334042278,1.2009434873687437,0.2
0.4363546950003433,1.188385896196889,0.2
0.4849757357956133,1.1761150507885674,0.2
0.5331794828362953,1.163362352807937,0.2
0.5815736720611125,1.1513109158349,0.2
0.6300778004244515,1.1334379094239255,0.2
0.6787162599667955,1.1137137072759642,0.2
0.7274029828450371,1.0894886511865485,0.2
0.7751262338879609,1.0641560153977094,0.2
0.8230802937841796,1.0395846643519375,0.2
0.8714458402320469,1.011722001039407,0.2
0.9199710003651556,0.9847319438808484,0.2
0.9681684284597876,0.9525168898581324,0.2
1.017173486594248,0.923064480622736,0.2
1.0663660622020654,0.8924358939534028,0.2
1.114828728512028,0.8644982542962558,0.2
1.163397804662439,0.8360531181188823,0.2
1.2123373248517104,0.807254112185461,0.2
1.4544288435592976,0.6832458404584946,0.2
1.696807035891455,0.5901114985081581,0.2
1.9384932034524256,0.5184489070628023,0.2
2.179817254090468,0.4625119626444945,0.2
2.421742521570196,0.4171582310526929,0.2
2.6634983487018986,0.3802842555496693,0.2
2.9042251208263403,0.3496048978711413,0.2
3.1431425977946703,0.3235084377277193,0.2
3.384385758871975,0.3003894457245762,0.2
3.6247863245197296,0.2811200481674897,0.2
3.861214497397213,0.2650813617592695,0.2
0.1120626138966526,1.641639793726723,0.3
0.1676802121164667,1.6316014760509878,0.3
0.2231241713893793,1.6192272273795232,0.3
0.280233673547094,1.5843307429032043,0.3
0.3373434170267628,1.5466686291341205,0.3
0.3939451526263866,1.5178296171557413,0.3
0.4504450130271871,1.481492707459781,0.3
0.5063429352018176,1.44423527851778,0.3
0.5629802067272861,1.405649116289585,0.3
0.6191239957570412,1.3582437163212038,0.3
0.6761201828011312,1.3064792324638284,0.3
0.7319673455400115,1.2530051513183222,0.3
0.7882454085563492,1.1946200749154106,0.3
0.8434735013222593,1.1354701941894705,0.3
0.8989940617368058,1.0836819328602731,0.3
0.9546409974148892,1.0312415153336396,0.3
1.0105631787508105,0.9817665304605986,0.3
1.0667015058199476,0.9342422698181426,0.3
1.1224916121250446,0.8888951595359027,0.3
1.1788123719927792,0.8485771607959498,0.3
1.2353746331773536,0.8115090315828325,0.3
1.2913702338233497,0.7787136872963372,0.3
1.3470086235086418,0.7468073737623153,0.3
1.4030387319453617,0.7166355571215958,0.3
1.6837798918792464,0.5972093156018768,0.3
1.96247329597734,0.5160695400970604,0.3
2.242275621404316,0.4545063754556831,0.3
2.523076481374563,0.4067503882209416,0.3
2.8025513868394203,0.3683576767569773,0.3
3.0857769359771408,0.336261759659209,0.3
3.3636635098448298,0.3099161806318239,0.3
3.6436379784715696,0.2868537220357854,0.3
3.92403667610433,0.2663145223148407,0.3
4.204340584151085,0.2497489228248632,0.3
4.4827829887569965,0.2355761217795352,0.3
