average_occupancy,relative_distance,request_rate
0.101533912,1.2415583915359178,16
0.154183944,1.2881601415016577,16
0.209980228,1.3268733197614366,16
0.264677268,1.358115170264083,16
0.333798384,1.3944980014639925,16
0.38440254,1.4165809898480484,16
0.453883789,1.4419789141487804,16
0.56820603,1.4664481639735043,16
0.6584883570000001,1.4702749459588496,16
0.798441658,1.4523910275542864,16
1.003027056,1.3923516178929487,16
1.003027056,1.3923516178929487,16
1.407084996,1.2734394204353134,16
1.407084996,1.2734394204353134,16
2.171734039,1.1039508362325048,16
2.171734039,1.1039508362325048,16
3.644621835,0.9239710809139392,16
3.644621835,0.9239710809139392,16
3.644621835,0.9239710809139392,16
3.644621835,0.9239710809139392,16
6.829182858999999,0.74618629292399,16
6.829182858999999,0.74618629292399,16
6.829182858999999,0.74618629292399,16
6.829182858999999,0.74618629292399,16
15.63106188,0.5679177170825436,16
15.63106188,0.5679177170825436,16
48.35841169,0.3922005088940834,16
48.35841169,0.3922005088940834,16
48.35841169,0.3922005088940834,16
269.3751581,0.2231148068898843,16
269.3751581,0.2231148068898843,16
269.3751581,0.2231148068898843,16
269.3751581,0.2231148068898843,16
269.3751581,0.2231148068898843,16
269.3751581,0.2231148068898843,16
0.101252268,1.1775815364929898,32
0.152240562,1.2110056532546267,32
0.205138048,1.2367774788503991,32
0.260680162,1.2615689197360178,32
0.315196988,1.2825868344638334,32
0.372827411,1.3016733509567753,32
0.436742424,1.3199709673911082,32
0.5061065020000001,1.336493412679315,32
0.5686992670000001,1.3456917921215337,32
0.6531752710000001,1.34980234393893,32
0.7786003770000001,1.3481871223204929,32
0.875619345,1.333044324300616,32
0.988874952,1.3072230252703074,32
1.147640568,1.260381352012275,32
1.367120333,1.193037865621007,32
1.673491773,1.106947855148266,32
2.040939736,1.020316494377681,32
2.040939736,1.020316494377681,32
2.78740047,0.929007238920148,32
2.78740047,0.929007238920148,32
3.572833306,0.8412306705580065,32
3.572833306,0.8412306705580065,32
4.933346369,0.74874639333425,32
4.933346369,0.74874639333425,32
7.430706857,0.65681689168053,32
11.59594276,0.5673757395168296,32
18.55050082,0.4755576260679382,32
34.2974864,0.3847480301982957,32
34.2974864,0.3847480301982957,32
79.63460083,0.2979070431944304,32
79.63460083,0.2979070431944304,32
79.63460083,0.2979070431944304,32
79.63460083,0.2979070431944304,32
230.4695457,0.2126819973819654,32
230.4695457,0.2126819973819654,32
0.10050439,1.1284215344056112,64
